ts,year,month,day,dp,rmm,wdir,ws,t,rh,p
2014-08-06,2014,8,6,15.772089660159073,1.440000000000001,129.0,3.99125090383225,23.819595083152578,61.73246565437455,1011.7819233550315
2014-08-07,2014,8,7,15.843094721619662,10.61999999999999,281.0,2.283297180043385,23.296456977584967,64.24801156905278,1009.0381778741813
2014-08-08,2014,8,8,14.666883586406412,1.8000000000000012,248.0,3.024801156905276,21.34041937816341,66.77874186550976,1007.3676066521975
2014-08-09,2014,8,9,13.669920462762136,1.4200000000000008,264.0,2.3088937093275503,20.98770788141721,63.7527114967462,1005.8887201735394
2014-08-10,2014,8,10,14.500216919739728,2.6699999999999973,163.0,2.5984815618221253,21.416413593637028,66.29862617498192,1006.3985538684001
2014-08-11,2014,8,11,16.81359363702097,4.089999999999999,219.0,2.9636297903109163,21.94822848879243,73.3058568329718,1002.8890817064404
2014-08-12,2014,8,12,13.514316702819949,8.90999999999998,214.0,3.5791033984092544,20.68214027476501,66.34417932031815,998.6686912509014
2014-08-13,2014,8,13,11.244323933477942,6.039999999999989,197.0,3.6143890093998485,17.789370932754867,66.41287057122199,999.9054229934939
2014-08-14,2014,8,14,12.255531453362252,8.279999999999982,321.0,2.6481561822125785,17.394721619667344,72.2002892263196,999.1882140274764
2014-08-15,2014,8,15,12.082357194504699,4.949999999999994,208.0,2.3276934201012307,17.47838033261028,71.66666666666667,997.7898770788153
2014-08-16,2014,8,16,12.293058568329725,4.209999999999992,309.0,1.9378163412870582,17.94851771511205,70.83007953723789,996.6845986984794
2014-08-17,2014,8,17,9.36840202458422,3.069999999999994,236.0,2.565148228488791,16.852783803326012,63.11713665943601,995.6255242226996
2014-08-18,2014,8,18,12.309544468546623,9.469999999999976,174.0,4.594287780188004,16.25422993492403,77.99349240780911,994.4741865509718
2014-08-19,2014,8,19,11.514533622559659,21.570000000000032,208.0,4.889370932754878,14.932176428054897,80.30151843817788,993.9274765003654
2014-08-20,2014,8,20,10.384164859002176,29.810000000000002,203.0,4.925958062183653,13.891467823571933,79.77584960231381,996.9176428054905
2014-08-21,2014,8,21,10.536370209689123,1.6400000000000006,203.0,4.476717281272594,14.772089660159114,76.82501807664498,999.1086767895788
2014-08-22,2014,8,22,9.479971077368077,0.7200000000000004,253.0,3.657339117859724,14.28286334056404,73.25162689804772,1001.1279103398393
2014-08-23,2014,8,23,9.481995661605213,14.469999999999995,107.0,2.858423716558204,13.08937093275491,79.6290672451193,1003.526391901661
2014-08-24,2014,8,24,9.997107736804073,0.5100000000000002,96.0,2.8350686912509007,14.482212581344871,75.75198843094722,1003.6538684020232
2014-08-25,2014,8,25,11.242443962400614,7.639999999999993,343.0,2.313159797541574,13.438322487346289,86.73825018076646,998.9007953723809
2014-08-26,2014,8,26,11.490021691973954,12.679999999999987,304.0,2.4140274765003613,14.33304410701376,83.66522053506868,988.2781634128692
2014-08-27,2014,8,27,11.477512653651456,14.379999999999997,293.0,2.5516268980477217,14.090600144613141,84.75777295733911,990.3383947939291
2014-08-28,2014,8,28,11.21258134490238,2.479999999999999,326.0,2.6305133767172815,14.597252349963844,80.66666666666667,998.0780187997092
2014-08-29,2014,8,29,9.61182015953588,3.549999999999999,354.0,2.8254532269760673,12.978027556200132,80.42712110224801,1004.694126178389
2014-08-30,2014,8,30,5.831742588575554,0.060000000000000005,51.0,2.1695589298626183,12.384381778741872,66.50253073029646,1011.0173535791776
2014-08-31,2014,8,31,6.009255242227032,0.01,45.0,2.6693420101229175,12.251626898047697,66.21258134490239,1016.5943600867731
2014-09-01,2014,9,1,7.276066522053531,0.10999999999999999,349.0,2.110484454085321,11.827693420101216,74.0759219088937,1018.7464931308803
2014-09-02,2014,9,2,7.796312364425166,0.16,270.0,1.7259580621836603,13.057917570498875,71.44179320318149,1019.4466377440443
2014-09-03,2014,9,3,11.869775849602291,0.08,259.0,3.2468546637743954,16.099783080260334,76.38394793926247,1021.1474331164154
2014-09-04,2014,9,4,12.32480115690529,0.17,264.0,2.935430224150399,15.47093275488067,82.21475054229936,1021.4612436731787
